ICD1,ICD2,Log2_Ratio,ICD11_1,ICD11_2
M54,R33,1.183172,ME84,MF50.3
R35,T73,2.23472322325,MF50.1,NF07
F21,F50,1.119034,6A22,6B8Z
R39,R60,1.330153,MF5Y,MG29
A49,J10,1.23567,1C41,1E30
N30,T73,1.66629014231,GC00,NF07
R10,R50,1.88621034277,MD81.4,MG26
A49,J00,1.387393,1C41,CA00
B18,F22,1.255512,1E51,6A24
G24,R39,1.56817791643,8A02,MF5Y
J42,K25,1.261481,CA20.1Z,DA60
B95,J10,1.069565,XN9ZG,1E30
I46,R07,1.027516,MC82,MD30
K59,R10,2.26918663282,DD91,MD81.4
B18,R53,1.248522,1E51,MG25
F07,I10,1.109383,6E6Z,BA00
G47,L70,1.202553,7B2Z,ED80
F50,N91,2.16948655894,6B8Z,GA20.0Z
G93,R26,1.69571977093,8E47,MB44
B17,F51,2.00512503218,1E50,7B2Z
A46,R05,1.082998,1B70,MD12
R10,T73,1.93310047493,MD81.4,NF07
K25,M11,1.325263,DA60,FA26
G43,M11,1.467126,8A8Z,FA26
B90,R53,1.215286,1G80,MG25
F22,F23,1.192162,6A24,6A23
R11,R12,1.161192,MD90.1,MD95
A41,N30,2.10606542115,1G40,GC00
J42,R60,1.463164,CA20.1Z,MG29
M54,R23,1.03323,ME84,ME66.Y
R02,R26,2.00685701207,MC85,MB44
R23,R46,1.055105,ME66.Y,MB23
J10,M40,1.067916,1E30,FA70.2
N30,R10,1.84624393545,GC00,MD81.4
R05,R33,1.021704,MD12,MF50.3
E61,K25,1.72841568945,5B7Z,DA60
F25,F31,1.422492,6A21,6A61
I46,L89,2.10531047868,MC82,EH90
E16,F06,1.92537102568,5A4Z,6E6Z
F13,F32,1.009141,6C44,6A70
R05,R73,1.05227,MD12,MA18.0Z
B15,L29,1.282807,1E50.0,EC90
L89,R07,1.493087,EH90,MD30
J44,R05,1.192454,CA22,MD12
F62,I64,2.23627201034,6B41,8B20
F21,Z50,1.278809,6A22,QB95
F13,G44,1.051307,6C44,8A84
B24,R60,1.486889,1C62.1,MG29
A41,R39,1.9996014104,1G40,MF5Y
I84,L29,1.334722,nan,EC90
G24,I46,1.71853849662,8A02,MC82
K59,L30,1.65891692405,DD91,EA8Z
G43,K25,1.032636,8A8Z,DA60
N30,R50,1.56643381687,GC00,MG26
K70,R41,2.06019356079,DB94,MB21
G43,Y06,1.69040270702,8A8Z,PB5A
L29,R31,1.198197,EC90,MF50.4Z
F11,R60,1.004612,6C43,MG29
L89,R26,1.75376817211,EH90,MB44
B15,R05,1.093423,1E50.0,MD12
F98,G40,1.393329,6B0Z,8A6Z
K25,K26,2.02963366032,DA60,DA63
M19,R60,1.332491,FA0Z,MG29
L21,R06,1.86805194379,EA81,MD11
B17,R26,1.439905,1E50,MB44
E87,T73,2.07469313048,5C7Z,NF07
I85,K74,1.57839981295,DA26.0Z,DB93.Y
H53,R30,1.055947,9D7Z,MF50
F04,F06,2.00897343549,6D72.0,6E6Z
I10,R00,1.85626452254,BA00,MC81
J18,J44,2.23266075679,CA40,CA22
A46,L29,1.233864,1B70,EC90
J10,T30,1.20717,1E30,NE11
F41,F42,1.347365,6B0Z,6B20
B34,F22,1.078479,1D9Z,6A24
K25,T73,1.278199,DA60,NF07
K25,R13,1.278199,DA60,MD93
F18,G93,2.14169981898,6C4B,8E47
B95,R06,1.404095,XN9ZG,MD11
E78,R07,1.112578,5C8Z,MD30
A49,L30,1.54176481132,1C41,EA8Z
L65,M54,1.295752,ED70,ME84
E66,G21,1.46203,5B81,8A00.2Z
G44,J45,1.023454,8A84,CA23.32
A46,F19,1.402,1B70,6C4D
A49,H53,1.4678,1C41,9D7Z
E11,R07,1.084889,5A11,MD30
F06,R40,1.55444573427,6E6Z,MB20.Y
I84,R44,1.09782,nan,MB27
B24,F65,2.10350860247,1C62.1,6D3Z
R13,R39,1.477468,MD93,MF5Y
K73,K76,1.93567901903,DB97.2,DB99.Y
L29,R10,1.084269,EC90,MD81.4
E66,Z72,1.486246,5B81,QE2Z
R26,R32,1.407637,MB44,MF50.2Z
A36,B24,2.08024552364,1C17,1C62.1
I20,R07,1.8488741915,BA40,MD30
B95,R12,1.21855,XN9ZG,MD95
J45,Z25,1.92965243549,CA23.32,QC01
R10,R12,1.169925,MD81.4,MD95
F42,J10,1.211181,6B20,1E30
B24,F19,1.034616,1C62.1,6C4D
G21,R60,1.81090108126,8A00.2Z,MG29
M19,R26,1.095441,FA0Z,MB44
J10,L50,1.005767,1E30,EB0Y
F41,F45,1.458815,6B0Z,6C20
F10,T50,1.309466,6C40,NE60
F51,K77,1.360152,7B2Z,1H0Z
J00,R61,1.29565,CA00,EE00
R30,R39,1.455654,MF50,MF5Y
I39,K77,2.01476535729,BC0Z,1H0Z
N30,R26,1.168104,GC00,MB44
M11,M17,2.16283235233,FA26,FA01
L29,L55,1.70544740318,EC90,EJ40
J42,R26,1.18766,CA20.1Z,MB44
A41,R31,2.18915911815,1G40,MF50.4Z
L30,R18,1.63480126205,EA8Z,ME04
I10,I69,1.68871042556,BA00,8B25
A46,L89,2.18801684174,1B70,EH90
R05,T30,1.112514,MD12,NE11
I61,R60,1.405865,8B00,MG29
K25,R60,1.059668,DA60,MG29
J10,R33,1.040575,1E30,MF50.3
B18,M54,1.107632,1E51,ME84
M40,R60,1.72118239038,FA70.2,MG29
G93,I10,1.62678267642,8E47,BA00
F98,G24,1.86342694712,6B0Z,8A02
A41,H40,2.11325714686,1G40,9C61
E16,R05,1.177116,5A4Z,MD12
B90,R26,1.4857,1G80,MB44
R18,R60,1.96072291158,ME04,MG29
F04,F07,2.01695751032,6D72.0,6E6Z
I95,R61,2.17607722842,BA2Z,EE00
F25,R06,1.023367,6A21,MD11
K25,R33,1.52600484234,DA60,MF50.3
I47,R05,1.289157,MC81.3,MD12
E87,R00,2.17541680496,5C7Z,MC81
B95,E66,1.337147,XN9ZG,5B81
A46,J45,1.56080128854,1B70,CA23.32
E66,I46,1.06738,5B81,MC82
R30,R31,1.91223234503,MF50,MF50.4Z
G47,R09,1.073328,7B2Z,MC9Y
M11,M13,2.13665598843,FA26,FA2Z
H40,J10,1.474981,9C61,1E30
L29,R11,1.014544,EC90,MD90.1
B95,F65,2.16087007372,XN9ZG,6D3Z
M11,T73,1.66085683763,FA26,NF07
E88,H53,1.342909,5D0Y,9D7Z
K25,R39,1.044531,DA60,MF5Y
K02,Z04,1.57273619839,DA08.0,MF3Y
J42,N30,1.507145,CA20.1Z,GC00
I67,I69,1.91692892787,8B22.Y,8B25
J42,M19,1.420896,CA20.1Z,FA0Z
L53,R05,1.458464,EM0Z,MD12
G47,K59,1.090905,7B2Z,DD91
F05,I46,1.71202043026,6D70,MC82
B15,R53,1.268935,1E50.0,MG25
K59,M54,1.3295,DD91,ME84
E66,T30,1.51473,5B81,NE11
E87,I21,1.91486054753,5C7Z,BA41
